Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2007,1,2,2,2132,2105,2352,2325,WN,1577,N308SW,80,80,70,27,27,ELP,AUS,528,5,5,0,,0,1,0,0,0,26
2007,1,2,2,636,635,754,800,WN,1611,N505,78,85,67,-6,1,MDW,MCI,405,3,8,0,,0,0,0,0,0,0
2007,1,2,2,1026,1030,1153,1155,WN,639,N331,147,145,133,-2,-4,SAT,PHX,843,7,7,0,,0,0,0,0,0,0
2007,1,3,3,1632,1625,1810,1810,WN,2541,N359,98,105,83,0,7,BWI,SDF,495,4,11,0,,0,0,0,0,0,0
2007,1,3,3,1841,1825,2001,1945,WN,603,N356,80,80,60,16,16,MCI,MDW,405,7,13,0,,0,0,0,0,0,16
2007,1,3,3,1449,1355,1551,1510,WN,141,N629SW,62,75,57,41,54,PVD,BWI,328,1,4,0,,0,4,0,0,0,37
2007,1,4,4,1454,1450,1536,1535,WN,689,N258,102,105,86,1,4,BOI,LAS,520,4,12,0,,0,0,0,0,0,0
2007,1,4,4,1949,1830,2105,1945,WN,1999,N234,76,75,66,80,79,LAS,RNO,345,3,7,0,,0,0,76,1,0,3
2007,1,4,4,1550,1530,1914,1910,WN,1898,N222,324,340,302,4,20,PHL,PHX,2075,5,17,0,,0,0,0,0,0,0
2007,1,5,5,1829,1805,2050,2035,WN,2399,N430,81,90,71,15,24,ABQ,DAL,580,2,8,0,,0,0,0,0,0,15
2007,1,5,5,626,630,714,730,WN,1164,N204,108,120,93,-16,-4,IAD,MDW,577,5,10,0,,0,0,0,0,0,0
2007,1,5,5,1737,1630,1942,1810,WN,823,N338,125,100,106,92,67,OAK,PDX,543,4,15,0,,0,17,0,25,0,50
2007,1,5,5,1034,1040,1152,1205,WN,1554,N364,78,85,69,-13,-6,SMF,SAN,480,2,7,0,,0,0,0,0,0,0
2007,1,6,6,1556,1555,1539,1550,WN,2779,N719SW,43,55,33,-11,1,IND,MDW,162,4,6,0,,0,0,0,0,0,0
2007,1,6,6,1342,1340,1617,1630,WN,2848,N214,155,170,135,-13,2,PHL,TPA,920,4,16,0,,0,0,0,0,0,0
2007,1,7,7,1638,1555,1726,1655,WN,433,N322,48,60,39,31,43,BOI,SLC,291,3,6,0,,0,6,0,0,0,25
2007,1,7,7,1834,1830,1941,1945,WN,2383,N334,67,75,54,-4,4,LAX,OAK,337,5,8,0,,0,0,0,0,0,0
2007,1,7,7,1654,1700,1730,1715,WN,812,N209,96,75,58,15,-6,PHX,SNA,338,29,9,0,,0,0,0,15,0,0
2007,1,8,1,1738,1710,2017,2005,WN,2512,N494,279,295,265,12,28,BUF,PHX,1912,5,9,0,,0,0,0,0,0,0
2007,1,8,1,2114,2120,2330,2335,WN,243,N374SW,76,75,59,-5,-6,LAS,SLC,368,6,11,0,,0,0,0,0,0,0
2007,1,8,1,1315,1215,1416,1320,WN,2597,N610SW,61,65,45,56,60,PHX,ABQ,328,5,11,0,,0,0,0,0,0,56
2007,1,9,2,1626,1630,1736,1740,WN,1119,N355,70,70,59,-4,-4,ABQ,PHX,328,4,7,0,,0,0,0,0,0,0
2007,1,9,2,1852,1800,2146,2105,WN,2248,N492,174,185,162,41,52,ISP,FLL,1093,3,9,0,,0,41,0,0,0,0
2007,1,9,2,1307,1310,1503,1515,WN,268,N616SW,116,125,104,-12,-3,OAK,SEA,671,5,7,0,,0,0,0,0,0,0
2007,1,9,2,1643,1645,1845,1855,WN,212,N610SW,62,70,52,-10,-2,SNA,PHX,338,3,7,0,,0,0,0,0,0,0
2007,1,10,3,834,840,941,1000,WN,923,N330SW,127,140,116,-19,-6,FLL,BNA,793,4,7,0,,0,0,0,0,0,0
2007,1,10,3,1832,1835,2053,2100,WN,2030,N770,261,265,247,-7,-3,MDW,PDX,1751,4,10,0,,0,0,0,0,0,0
2007,1,10,3,1654,1655,1751,1750,WN,2379,N309SW,57,55,40,1,-1,SEA,GEG,224,4,13,0,,0,0,0,0,0,0
